player,stat,mu,sigma
Anthony Davis,PRA,31.70,13.39
D'Angelo Russell,PTS,11.90,8.67
D'Angelo Russell,REB,3.30,1.85
D'Angelo Russell,AST,5.50,3.01
D'Angelo Russell,PRA,20.70,12.03
Austin Reaves,PTS,23.60,7.06
Austin Reaves,REB,4.70,2.19
Austin Reaves,AST,4.70,1.73
Austin Reaves,PRA,33.00,7.99
Ja Morant,PTS,30.00,6.62
Ja Morant,REB,4.30,2.45
Ja Morant,AST,7.00,2.41
Ja Morant,PRA,41.30,7.44
Jaren Jackson Jr.,PTS,20.70,4.61
Jaren Jackson Jr.,REB,5.30,4.31
Jaren Jackson Jr.,AST,1.50,0.92
Jaren Jackson Jr.,PRA,27.50,6.95
Desmond Bane,PTS,21.00,9.17
Desmond Bane,REB,4.90,2.07
Desmond Bane,AST,4.80,2.18
Desmond Bane,PRA,30.70,10.57
Bam Adebayo,PTS,21.30,6.54
Bam Adebayo,REB,8.30,2.87
Bam Adebayo,AST,4.00,1.48
Bam Adebayo,PRA,33.60,8.96
Tyler Herro,PTS,27.40,5.41
Tyler Herro,REB,4.80,1.78
Tyler Herro,AST,4.90,2.02
Tyler Herro,PRA,37.10,6.12
Giannis Antetokounmpo,PTS,31.50,3.88
Giannis Antetokounmpo,REB,11.70,3.63
Giannis Antetokounmpo,AST,9.10,5.01
Giannis Antetokounmpo,PRA,52.30,8.59
Damian Lillard,PTS,23.00,5.39
Damian Lillard,REB,4.90,2.43
Damian Lillard,AST,5.80,2.79
Damian Lillard,PRA,33.70,7.13
Khris Middleton,PTS,10.60,3.67
Khris Middleton,REB,3.50,1.69
Khris Middleton,AST,3.00,2.61
Khris Middleton,PRA,17.10,7.08
Brook Lopez,PTS,14.20,7.28
Brook Lopez,REB,4.90,3.21
Brook Lopez,AST,2.30,2.05
Brook Lopez,PRA,21.40,10.58
Anthony Edwards,PTS,28.20,10.78
Anthony Edwards,REB,5.10,2.26
Anthony Edwards,AST,4.30,1.55
Anthony Edwards,PRA,37.60,11.74
Karl-Anthony Towns,PTS,24.80,7.78
Karl-Anthony Towns,REB,11.90,1.45
Karl-Anthony Towns,AST,3.10,2.95
Karl-Anthony Towns,PRA,39.80,9.56
Rudy Gobert,PTS,18.80,7.03
Rudy Gobert,REB,14.90,4.99
Rudy Gobert,AST,1.50,1.20
Rudy Gobert,PRA,35.20,8.85
Zion Williamson,PTS,24.70,5.68
Zion Williamson,REB,6.70,2.61
Zion Williamson,AST,6.30,3.32
Zion Williamson,PRA,37.70,7.58
Brandon Ingram,PTS,20.30,8.03
Brandon Ingram,REB,5.00,2.05
Brandon Ingram,AST,5.70,1.95
Brandon Ingram,PRA,31.00,10.48
CJ McCollum,PTS,17.40,9.87
CJ McCollum,REB,3.90,1.70
CJ McCollum,AST,4.70,2.24
CJ McCollum,PRA,26.00,12.18
Jalen Brunson,PTS,25.80,7.26
Jalen Brunson,REB,3.00,1.79
Jalen Brunson,AST,6.30,2.33
Jalen Brunson,PRA,35.10,9.16
Julius Randle,PTS,18.30,7.99
Julius Randle,REB,7.30,1.95
Julius Randle,AST,4.90,1.70
Julius Randle,PRA,30.50,9.52
RJ Barrett,PTS,18.10,5.50
RJ Barrett,REB,5.90,2.70
RJ Barrett,AST,4.50,2.38
RJ Barrett,PRA,28.50,7.84
Shai Gilgeous-Alexander,PTS,30.80,5.60
Shai Gilgeous-Alexander,REB,4.60,2.29
Shai Gilgeous-Alexander,AST,7.40,2.37
Shai Gilgeous-Alexander,PRA,42.80,5.67
Chet Holmgren,PTS,14.80,6.29
Chet Holmgren,REB,6.90,2.77
Chet Holmgren,AST,2.10,1.14
Chet Holmgren,PRA,23.80,8.20
Jalen Williams,PTS,23.00,6.50
Jalen Williams,REB,4.70,2.10
Jalen Williams,AST,4.60,1.56
Jalen Williams,PRA,32.30,7.75
Paolo Banchero,PTS,28.20,5.72
Paolo Banchero,REB,8.60,3.67
Paolo Banchero,AST,4.80,1.78
Paolo Banchero,PRA,41.60,8.74
Franz Wagner,PTS,23.70,3.52
Franz Wagner,REB,6.10,2.02
Franz Wagner,AST,4.90,2.12
Franz Wagner,PRA,34.70,4.96
Jalen Suggs,PTS,16.80,9.64
Jalen Suggs,REB,4.30,2.05
Jalen Suggs,AST,3.20,1.99
Jalen Suggs,PRA,24.30,10.64
Joel Embiid,PTS,26.00,6.71
Joel Embiid,REB,9.20,3.40
Joel Embiid,AST,5.00,2.10
Joel Embiid,PRA,40.20,8.96
Tyrese Maxey,PTS,20.20,12.21
Tyrese Maxey,REB,2.90,1.70
Tyrese Maxey,AST,5.60,2.33
Tyrese Maxey,PRA,28.70,12.58
Kevin Durant,PTS,24.60,9.30
Kevin Durant,REB,5.50,2.33
Kevin Durant,AST,3.70,2.72
Kevin Durant,PRA,33.80,11.36
Devin Booker,PTS,24.60,10.22
Devin Booker,REB,4.10,2.07
Devin Booker,AST,7.40,3.80
Devin Booker,PRA,36.10,10.80
Bradley Beal,PTS,14.40,8.04
Bradley Beal,REB,2.20,1.25
Bradley Beal,AST,4.10,2.43
Bradley Beal,PRA,20.70,8.31
Anfernee Simons,PTS,20.30,9.28
Anfernee Simons,REB,2.30,1.35
Anfernee Simons,AST,3.90,1.92
Anfernee Simons,PRA,26.50,7.28
Scoot Henderson,PTS,12.70,7.24
Scoot Henderson,REB,3.10,2.02
Scoot Henderson,AST,4.30,1.49
Scoot Henderson,PRA,20.10,7.08
Jerami Grant,PTS,13.50,6.73
Jerami Grant,REB,4.10,2.17
Jerami Grant,AST,1.90,1.30
Jerami Grant,PRA,19.50,6.61
De'Aaron Fox,PTS,17.40,6.33
De'Aaron Fox,REB,4.20,2.04
De'Aaron Fox,AST,6.50,2.54
De'Aaron Fox,PRA,28.10,9.10
Domantas Sabonis,PTS,20.10,4.30
Domantas Sabonis,REB,13.90,2.84
Domantas Sabonis,AST,5.40,2.69
Domantas Sabonis,PRA,39.40,5.75
Keegan Murray,PTS,13.00,6.42
Keegan Murray,REB,6.00,1.90
Keegan Murray,AST,1.10,0.94
Keegan Murray,PRA,20.10,6.79
Victor Wembanyama,PTS,23.60,5.43
Victor Wembanyama,REB,11.90,1.70
Victor Wembanyama,AST,3.50,1.43
Victor Wembanyama,PRA,39.00,6.53
